UT (Unique WOS ID),Article Title,Source Title,Pubmed Id,Document Type,UT (Unique WOS ID),Publication Year,DOI
WOS_000386769500011,Understanding photodermatoses associated with defective DNA repair Syndromes with cancer predisposition,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,27745641,Article,WOS:000386769500011,2016,10.1016/j.jaad.2016.03.045
WOS_000386769500012,Understanding photodermatoses associated with defective DNA repair Photosensitive syndromes without associated cancer predisposition,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,27745642,Article,WOS:000386769500012,2016,10.1016/j.jaad.2016.03.044
WOS_000417961700018,Age-induced and photoinduced changes in gene expression profiles in facial skin of Caucasian females across 6 decades of age,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,29146147,Article,WOS:000417961700018,2018,10.1016/j.jaad.2017.09.012
WOS_000686500800001,Air pollution-induced tanning of human skin,BRITISH JOURNAL OF DERMATOLOGY,33991337,Article,WOS:000686500800001,2021,10.1111/bjd.20483
WOS_000723126400001,Autophagy induction regulates aquaporin 3-mediated skin fibroblast ageing,BRITISH JOURNAL OF DERMATOLOGY,34319590,Article,WOS:000723126400001,2022,10.1111/bjd.20662
WOS_000399363100035,Drug-induced photosensitivity: new insights into pathomechanisms and clinical variation through basic and applied science,BRITISH JOURNAL OF DERMATOLOGY,27510322,Article,WOS:000399363100035,2017,10.1111/bjd.14935
WOS_001206444300001,"Prediction, screening and characterization of novel bioactive tetrapeptide matrikines for skin rejuvenation",BRITISH JOURNAL OF DERMATOLOGY,38375775,Article,WOS:001206444300001,2024,10.1093/bjd/ljae061
WOS_000457747200010,"Prospective, randomized, double-blind assessment of topical bakuchiol and retinol for facial photoageing",BRITISH JOURNAL OF DERMATOLOGY,29947134,Article,WOS:000457747200010,2019,10.1111/bjd.16918
WOS_000419479300051,Morphological and molecular characterization of actinic lentigos reveals alterations of the dermal extracellular matrix,BRITISH JOURNAL OF DERMATOLOGY,28570000,Article,WOS:000419479300051,2017,10.1111/bjd.15697
WOS_000351465700002,Polypodium leucotomos: A Potential New Photoprotective Agent,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,25666116,Article,WOS:000351465700002,2015,10.1007/s40257-015-0113-0
WOS_001372728400001,Regenerative Potential Nanomedicine of Adipocyte Stem Cell-Derived Exosomes in Senescent Skin Tissue,INTERNATIONAL JOURNAL OF NANOMEDICINE,39660280,Article,WOS:001372728400001,2024,10.2147/IJN.S470225
WOS_000487388900003,Ameliorative Effect Of Zinc Oxide Nanoparticles Against Dermal Toxicity Induced By Lead Oxide In Rats,INTERNATIONAL JOURNAL OF NANOMEDICINE,31806958,Article,WOS:000487388900003,2019,10.2147/IJN.S220572
WOS_000983588600001,The anti-melanogenic properties of Swietenia macrophylla king,BIOMEDICINE & PHARMACOTHERAPY,37068335,Article,WOS:000983588600001,2023,10.1016/j.biopha.2023.114659
WOS_000874593700001,Kaempferol tetrasaccharides restore skin atrophy via PDK1 inhibition in human skin cells and tissues: Bench and clinical studies,BIOMEDICINE & PHARMACOTHERAPY,36252351,Article,WOS:000874593700001,2022,10.1016/j.biopha.2022.113864
WOS_001001364700001,Oral delivery of a highly stable superoxide dismutase as a skin aging inhibitor,BIOMEDICINE & PHARMACOTHERAPY,37209626,Article,WOS:001001364700001,2023,10.1016/j.biopha.2023.114878
WOS_001243303700001,Alginate oligosaccharide-mediated butyrate-HIF-1a axis improves skin aging in mice,JOURNAL OF PHARMACEUTICAL ANALYSIS,38807706,Article,WOS:001243303700001,2024,10.1016/j.jpha.2023.12.001
WOS_000724929300002,Polymethoxyflavones from Kaempferia parviflora ameliorate skin aging in primary human dermal fibroblasts and ex vivo human skin,BIOMEDICINE & PHARMACOTHERAPY,34839253,Article,WOS:000724929300002,2022,10.1016/j.biopha.2021.112461
WOS_000445036200088,"Phytocosmeceutical formulation development, characterization and its in-vivo investigations",BIOMEDICINE & PHARMACOTHERAPY,30142542,Article,WOS:000445036200088,2018,10.1016/j.biopha.2018.08.024
WOS_000832825700002,Antiaging effect of inotodiol on oxidative stress in human dermal fibroblasts,BIOMEDICINE & PHARMACOTHERAPY,35759867,Article,WOS:000832825700002,2022,10.1016/j.biopha.2022.113311
WOS_000904449400006,Dietary supplementation of n-3 PUFAs ameliorates LL37-induced rosacea-like skin inflammation via inhibition of TLR2/MyD88/ NF-KB pathway,BIOMEDICINE & PHARMACOTHERAPY,36481403,Article,WOS:000904449400006,2023,10.1016/j.biopha.2022.114091
WOS_000417744400179,"7,8-Dihydroxyflavone attenuates TNF-α-induced skin aging in Hs68 human dermal fibroblast cells via down-regulation of the MAPKs/Akt signaling pathways",BIOMEDICINE & PHARMACOTHERAPY,28950658,Article,WOS:000417744400179,2017,10.1016/j.biopha.2017.09.098
WOS_000716325400006,Extracellular Superoxide Dismutase Prevents Skin Aging by Promoting Collagen Production through the Activation of AMPK and Nrf2/HO-1 Cascades,JOURNAL OF INVESTIGATIVE DERMATOLOGY,33836179,Article,WOS:000716325400006,2021,10.1016/j.jid.2021.02.757
WOS_000351188600027,Premature Skin Aging Features Rescued by Inhibition of NADPH Oxidase Activity in XPC-Deficient Mice,JOURNAL OF INVESTIGATIVE DERMATOLOGY,25437426,Article,WOS:000351188600027,2015,10.1038/jid.2014.511
WOS_000408272900015,Genome-Wide Association Shows that Pigmentation Genes Play a Role in Skin Aging,JOURNAL OF INVESTIGATIVE DERMATOLOGY,28502801,Article,WOS:000408272900015,2017,10.1016/j.jid.2017.04.026
WOS_000591926400003,Senescent Fibroblast-Derived GDF15 Induces Skin Pigmentation,JOURNAL OF INVESTIGATIVE DERMATOLOGY,32416083,Article,WOS:000591926400003,2020,10.1016/j.jid.2020.04.016
WOS_000383621100016,Thyroid Hormones Enhance Mitochondrial Function in Human Epidermis,JOURNAL OF INVESTIGATIVE DERMATOLOGY,27349864,Article,WOS:000383621100016,2016,10.1016/j.jid.2016.05.118
WOS_000631267900008,Dermal Fibroblast CCN1 Expression in Mice Recapitulates Human Skin Dermal Aging,JOURNAL OF INVESTIGATIVE DERMATOLOGY,32800875,Article,WOS:000631267900008,2021,10.1016/j.jid.2020.07.019
WOS_001063099000001,Matrix Metalloproteinase-1 Expression in Fibroblasts Accelerates Dermal Aging and Promotes Papilloma Development in Mouse Skin,JOURNAL OF INVESTIGATIVE DERMATOLOGY,36914001,Article,WOS:001063099000001,2023,10.1016/j.jid.2023.02.028
WOS_000867642000010,Advanced Glycation End Products Promote Melanogenesis by Activating NLRP3 Inflammasome in Human Dermal Fibroblasts,JOURNAL OF INVESTIGATIVE DERMATOLOGY,35421403,Article,WOS:000867642000010,2022,10.1016/j.jid.2022.03.025
WOS_000653757300001,Isosorbide Di-(Linoleate/Oleate) Stimulates Prodifferentiation Gene Expression to Restore the Epidermal Barrier and Improve Skin Hydration,JOURNAL OF INVESTIGATIVE DERMATOLOGY,33181142,Article,WOS:000653757300001,2020,10.1016/j.jid.2020.09.029
WOS_000956872800001,Association of Early Clinical Response to Laser Rejuvenation of Photoaged Skin with Increased Lipid Metabolism and Restoration of Skin Barrier Function,JOURNAL OF INVESTIGATIVE DERMATOLOGY,36055399,Article,WOS:000956872800001,2023,10.1016/j.jid.2022.07.024
WOS_000574374700008,Epidermal Mineralocorticoid Receptor Inactivation Affects the Homeostasis of All Skin Layers in Chronologically Aged Mice,JOURNAL OF INVESTIGATIVE DERMATOLOGY,32199993,Article,WOS:000574374700008,2020,10.1016/j.jid.2020.03.933
WOS_000514849500023,"A Zingerone Analog, Acetyl Zingerone, Bolsters Matrisome Synthesis, Inhibits Matrix Metallopeptidases, and Represses IL-17A Target Gene Expression",JOURNAL OF INVESTIGATIVE DERMATOLOGY,31465741,Article,WOS:000514849500023,2020,10.1016/j.jid.2019.07.715
WOS_000394933600013,A Topical Mitochondria-Targeted Redox-Cycling Nitroxide Mitigates Oxidative Stress-Induced Skin Damage,JOURNAL OF INVESTIGATIVE DERMATOLOGY,27794421,Article,WOS:000394933600013,2017,10.1016/j.jid.2016.09.033
WOS_000491961700018,Transcriptomic Network Interactions in Human Skin Treated with Topical Glucocorticoid Clobetasol Propionate,JOURNAL OF INVESTIGATIVE DERMATOLOGY,31247200,Article,WOS:000491961700018,2019,10.1016/j.jid.2019.04.021
WOS_001450700700001,G Protein-Coupled Receptors in Skin Aging,JOURNAL OF INVESTIGATIVE DERMATOLOGY,39186022,Article,WOS:001450700700001,2025,10.1016/j.jid.2024.06.1288
WOS_000965734300009,Skin Aging in Long-Lived Naked Mole-Rats Is Accompanied by Increased Expression of Longevity-Associated and Tumor Suppressor Genes,JOURNAL OF INVESTIGATIVE DERMATOLOGY,35691364,Article,WOS:000965734300009,2022,10.1016/j.jid.2022.04.028
WOS_000476625200014,Nicotinamide Metabolism Modulates the Proliferation/Differentiation Balance and Senescence of Human Primary Keratinocytes,JOURNAL OF INVESTIGATIVE DERMATOLOGY,30776433,Article,WOS:000476625200014,2019,10.1016/j.jid.2019.02.005
WOS_000497691800017,Extracellular Vesicles in Human Skin: Cross-Talk from Senescent Fibroblasts to Keratinocytes by miRNAs,JOURNAL OF INVESTIGATIVE DERMATOLOGY,31220456,Article,WOS:000497691800017,2019,10.1016/j.jid.2019.05.015
WOS_001043633600001,"PANX3 Channels Regulate Architecture, Adhesion, Barrier Function, and Inflammation in the Skin",JOURNAL OF INVESTIGATIVE DERMATOLOGY,36813158,Article,WOS:001043633600001,2023,10.1016/j.jid.2023.01.030
WOS_000778814100001,Targeting mitochondria in dermatological therapy: beyond oxidative damage and skin aging,EXPERT OPINION ON THERAPEUTIC TARGETS,35249436,Article,WOS:000778814100001,2022,10.1080/14728222.2022.2049756
WOS_001255212900001,"γ-Mangosteen, an autophagy enhancer, prevents skin-aging via activating KEAP1/NRF2 signaling and downregulating MAPKs/AP-1/ NF-κB-mediated MMPs",PHYTOMEDICINE,38878525,Article,WOS:001255212900001,2024,10.1016/j.phymed.2024.155815
WOS_001072720100001,Bifidobacterium longum 68S mediated gut-skin axis homeostasis improved skin barrier damage in aging mice,PHYTOMEDICINE,37678055,Article,WOS:001072720100001,2023,10.1016/j.phymed.2023.155051
WOS_000921522700001,"Development on potential skin anti-aging agents of Cosmos caudatus Kunth via inhibition of collagenase, MMP-1 and MMP-3 activities",PHYTOMEDICINE,36623444,Article,WOS:000921522700001,2023,10.1016/j.phymed.2023.154643
WOS_000566511300012,Sulforaphane controls the release of paracrine factors by keratinocytes and thus mitigates particulate matter-induced premature skin aging by suppressing melanogenesis and maintaining collagen homeostasis,PHYTOMEDICINE,32659677,Article,WOS:000566511300012,2020,10.1016/j.phymed.2020.153276
WOS_000379692900005,HPLC-DAD-MS/MS profiling of standardized rosemary extract and enhancement of its anti-wrinkle activity by encapsulation in elastic nanovesicles,ARCHIVES OF PHARMACAL RESEARCH,27107862,Article,WOS:000379692900005,2016,10.1007/s12272-016-0744-6
WOS_000724359300001,"Carotenoids from Persimmon (Diospyros kaki Thunb.) Byproducts Exert Photoprotective, Antioxidative and Microbial Anti-Adhesive Effects on HaCaT",PHARMACEUTICS,34834313,Article,WOS:000724359300001,2021,10.3390/pharmaceutics13111898
WOS_000765110000001,The Potential of Bovine Colostrum-Derived Exosomes to Repair Aged and Damaged Skin Cells,PHARMACEUTICS,35214040,Article,WOS:000765110000001,2022,10.3390/pharmaceutics14020307
WOS_001277650600001,Large-Scale Isolation of Milk Exosomes for Skincare,PHARMACEUTICS,39065627,Article,WOS:001277650600001,2024,10.3390/pharmaceutics16070930
WOS_000704012500004,The relationship between melanin production and lipofuscin formation in Tyrosinase gene knockout melanocytes using CRISPR/Cas9 system,LIFE SCIENCES,34453947,Article,WOS:000704012500004,2021,10.1016/j.lfs.2021.119915
WOS_000484035300038,A keratinocyte and integrated fibroblast culture model for studying particulate matter-induced skin lesions and therapeutic intervention of fucosterol,LIFE SCIENCES,31376370,Article,WOS:000484035300038,2019,10.1016/j.lfs.2019.116714
WOS_001309406100001,Nerol mitigates dexamethasone-induced skin aging by activating the Nrf2 signaling pathway in human dermal fibroblasts,LIFE SCIENCES,39236900,Article,WOS:001309406100001,2024,10.1016/j.lfs.2024.123034
WOS_000454726400006,"Elicited ROS Scavenging Activity, Photoprotective, and Wound-Healing Properties of Collagen-Derived Peptides from the Marine Sponge Chondrosia reniformis",MARINE DRUGS,30477144,Article,WOS:000454726400006,2018,10.3390/md16120465
WOS_000435195100007,Effect of Fish Collagen Hydrolysates on Type I Collagen mRNA Levels of Human Dermal Fibroblast Culture,MARINE DRUGS,29701725,Article,WOS:000435195100007,2018,10.3390/md16050144
WOS_000895272100001,Screening for New Cosmeceuticals from Brown Algae Fucus vesiculosus with Antioxidant and Photo-Protecting Properties,MARINE DRUGS,36355010,Article,WOS:000895272100001,2022,10.3390/md20110687
WOS_000424125600021,Posidonia oceanica (L.) Delile Ethanolic Extract Modulates Cell Activities with Skin Health Applications,MARINE DRUGS,29320400,Article,WOS:000424125600021,2018,10.3390/md16010021
WOS_000458053200060,Effect of Fermented Fish Oil on Fine Particulate Matter-Induced Skin Aging,MARINE DRUGS,30669248,Article,WOS:000458053200060,2019,10.3390/md17010061
WOS_000580822300001,"Sarmentosamide, an Anti-Aging Compound from a Marine-Derived Streptomyces sp. APmarine042",MARINE DRUGS,32927886,Article,WOS:000580822300001,2020,10.3390/md18090463
WOS_001404392600001,Eco-Friendly Extraction of Phlorotannins from Padina pavonica: Identification Related to Purification Methods Towards Innovative Cosmetic Applications,MARINE DRUGS,39852517,Article,WOS:001404392600001,2025,10.3390/md23010015
WOS_000786200600001,"The Interplay of Mycosporine-like Amino Acids between Phytoplankton Groups and Northern Krill (Thysanoessa sp.) in a High-Latitude Fjord (Kongsfjorden, Svalbard)",MARINE DRUGS,35447908,Article,WOS:000786200600001,2022,10.3390/md20040238
WOS_000513184600054,Quantitative and Qualitative HPLC Analysis of Mycosporine-Like Amino Acids Extracted in Distilled Water for Cosmetical Uses in Four Rhodophyta,MARINE DRUGS,31905630,Article,WOS:000513184600054,2020,10.3390/md18010027
WOS_000845413000001,Potential for the Production of Carotenoids of Interest in the Polar Diatom Fragilariopsis cylindrus,MARINE DRUGS,36005496,Article,WOS:000845413000001,2022,10.3390/md20080491
WOS_001168330800001,Lipidome Plasticity Enables Unusual Photosynthetic Flexibility in Arctic vs. Temperate Diatoms,MARINE DRUGS,38393038,Article,WOS:001168330800001,2024,10.3390/md22020067
WOS_000365645400011,Seasonal Changes in Mycosporine-Like Amino Acid Production Rate with Respect to Natural Phytoplankton Species Composition,MARINE DRUGS,26561820,Article,WOS:000365645400011,2015,10.3390/md13116740
WOS_000448819600052,Physicochemical and Antioxidant Properties of Acid- and Pepsin-Soluble Collagens from the Scales of Miiuy Croaker (Miichthys Miiuy),MARINE DRUGS,30347803,Article,WOS:000448819600052,2018,10.3390/md16100394
WOS_000902675200001,Cosmetic Application of Cyanobacteria Extracts with a Sustainable Vision to Skincare: Role in the Antioxidant and Antiaging Process,MARINE DRUGS,36547908,Article,WOS:000902675200001,2022,10.3390/md20120761
WOS_000778459000001,A Dunaliella salina Extract Counteracts Skin Aging under Intense Solar Irradiation Thanks to Its Antiglycation and Anti-Inflammatory Properties,MARINE DRUGS,35200634,Article,WOS:000778459000001,2022,10.3390/md20020104
WOS_001366290700001,Odd-Numbered Agaro-Oligosaccharides Produced by α-Neoagaro-Oligosaccharide Hydrolase Exert Antioxidant Activity in Human Dermal Fibroblasts,MARINE DRUGS,39590775,Article,WOS:001366290700001,2024,10.3390/md22110495
WOS_001430136500001,Characterizing the Ultraviolet (UV) Screening Ability of L-5-Sulfanylhistidine Derivatives on Human Dermal Fibroblasts,MARINE DRUGS,39997180,Article,WOS:001430136500001,2025,10.3390/md23020057
WOS_000868661000001,Scutellaria baicalensis Georgi regulates REV-ERBa/BMAL1 to protect against skin aging in mice,FRONTIERS IN PHARMACOLOGY,36249807,Article,WOS:000868661000001,2022,10.3389/fphar.2022.991917
WOS_001347659900001,LCCP exposure leads to skin cell senescence damage by triggering oxidative stress mediated by mitochondrial Ca2+overload,INTERNATIONAL IMMUNOPHARMACOLOGY,39467346,Article,WOS:001347659900001,2024,10.1016/j.intimp.2024.113471
WOS_001172809600001,Isolation and purification of Eleutherococcus sessiliflorus (Rupr. & Maxim.) S. Y. Hu peptides and study of their antioxidant effects and mechanisms,FRONTIERS IN PHARMACOLOGY,38389921,Article,WOS:001172809600001,2024,10.3389/fphar.2024.1353871
WOS_000510911700001,Squid Ink Polysaccharides Protect Human Fibroblast Against Oxidative Stress by Regulating NADPH Oxidase and Connexin43,FRONTIERS IN PHARMACOLOGY,32009967,Article,WOS:000510911700001,2020,10.3389/fphar.2019.01574
WOS_001016686300001,Cellular photo(geno)toxicity of gefitinib after biotransformation,FRONTIERS IN PHARMACOLOGY,37351506,Article,WOS:001016686300001,2023,10.3389/fphar.2023.1208075
WOS_001135829900001,Skin-protective biological activities of bio-fermented Aframomum angustifolium extract by a consortium of microorganisms,FRONTIERS IN PHARMACOLOGY,38186646,Article,WOS:001135829900001,2023,10.3389/fphar.2023.1303198
WOS_001448933000001,Paeonia suffruticosa Andrews root extract ameliorates photoaging via regulating IRS1/PI3K/FOXO pathway,FRONTIERS IN PHARMACOLOGY,40115263,Article,WOS:001448933000001,2025,10.3389/fphar.2025.1520392
WOS_000430245600026,Selected essential oils inhibit key physiological enzymes and possess intracellular and extracellular antimelanogenic properties in vitro,JOURNAL OF FOOD AND DRUG ANALYSIS,29389560,Article,WOS:000430245600026,2018,10.1016/j.jfda.2017.03.002
WOS_001259397700001,Study on the anti-skin aging effect and mechanism of Sijunzi Tang based on network pharmacology and experimental validation,JOURNAL OF ETHNOPHARMACOLOGY,38880400,Article,WOS:001259397700001,2024,10.1016/j.jep.2024.118421
WOS_000351557700022,Ultra-small lipid nanoparticles promote the penetration of coenzyme Q10 in skin cells and counteract oxidative stress,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,25500282,Article,WOS:000351557700022,2015,10.1016/j.ejpb.2014.12.008
WOS_000389090600068,Jasmine rice panicle: A safe and efficient natural ingredient for skin aging treatments,JOURNAL OF ETHNOPHARMACOLOGY,27721049,Article,WOS:000389090600068,2016,10.1016/j.jep.2016.10.013
WOS_000860410700003,"Melaleuca rugulosa (Link) Craven Tannins: Appraisal of anti-inflammatory, radical scavenging activities, and molecular modeling studies",JOURNAL OF ETHNOPHARMACOLOGY,35987414,Article,WOS:000860410700003,2022,10.1016/j.jep.2022.115596
WOS_000713278400001,Polyphenolic profile and ethno pharmacological activities of Callistemon subulatus (Cheel) Craven leaves cultivated in Egypt,JOURNAL OF ETHNOPHARMACOLOGY,34600075,Article,WOS:000713278400001,2022,10.1016/j.jep.2021.114698
WOS_001070519400001,Anti-aging formula protects skin from oxidative stress-induced senescence through the inhibition of CXCR2 expression,JOURNAL OF ETHNOPHARMACOLOGY,37598772,Article,WOS:001070519400001,2024,10.1016/j.jep.2023.116996
WOS_001283517000001,Development of dissolving microneedles loaded with fucoidan for enhanced anti-aging activity: An in vivo study in mice animal model,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,38871091,Article,WOS:001283517000001,2024,10.1016/j.ejpb.2024.114362
WOS_000965868600001,Solid-in-oil nanodispersion as a novel topical transdermal delivery to enhance stability and skin permeation and retention of hydrophilic drugs L-ascorbic acid,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,36791884,Article,WOS:000965868600001,2023,10.1016/j.ejpb.2023.02.004
WOS_000370108900023,Polyphenols from Cymbopogon citratus leaves as topical anti-inflammatory agents,JOURNAL OF ETHNOPHARMACOLOGY,26702504,Article,WOS:000370108900023,2016,10.1016/j.jep.2015.12.016
WOS_001354162900001,Transdermal Delivery of Superoxide Dismutase Using Polymeric Microneedle Patches to Inhibit Skin Aging,ADVANCED THERAPEUTICS,,Article,WOS:001354162900001,2024,10.1002/adtp.202400159
WOS_001129095500001,"Development, in vitro and ex vivo evaluation of bioadhesive colloidal systems for curcumin skin delivery aiming the antioxidant and photoprotective activities",JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,,Article,WOS:001129095500001,2024,10.1016/j.jddst.2023.105195
WOS_000788094500005,"Microemulsion of essential oils from citrus peels and leaves with anti-aging, whitening, and irritation reducing capacity",JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,,Article,WOS:000788094500005,2022,10.1016/j.jddst.2022.103188
WOS_001377585800001,Transdermal delivery of Acheta domesticus protein hydrolysate using nanostructured lipid carriers and Derma Stamp - Does the combination of lipid-based formulation and a physical technique add value for permeation and retention?,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,,Article,WOS:001377585800001,2025,10.1016/j.jddst.2024.106470
WOS_000670364200003,The apoptotic effect of Ferulic acid-synthesized gold nanoparticles against human epidermoid carcinoma (A431) cells via activation of caspase-3 pathway,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,,Article,WOS:000670364200003,2021,10.1016/j.jddst.2021.102478
WOS_001049136100001,"Ferulic acid-loaded aspasomes: A new approach to enhance the skin permeation, anti-aging and antioxidant effects",JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,,Article,WOS:001049136100001,2023,10.1016/j.jddst.2023.104748
WOS_000487963600037,Topical formulation of quercetin encapsulated in natural lipid nanocarriers: Evaluation of biological properties and phototoxic effect,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,,Article,WOS:000487963600037,2019,10.1016/j.jddst.2019.101148
WOS_001323133400001,Docosatrienoic Acid Inhibits Melanogenesis Partly through Suppressing the Intracellular MITF/Tyrosinase Axis,PHARMACEUTICALS,39338360,Article,WOS:001323133400001,2024,10.3390/ph17091198
WOS_000724617500001,Evaluation of Gallic Acid-Coated Gold Nanoparticles as an Anti-Aging Ingredient,PHARMACEUTICALS,34832853,Article,WOS:000724617500001,2021,10.3390/ph14111071
WOS_000845853500001,Skin Anti-Aging Potential of Ipomoea pes-caprae Ethanolic Extracts on Promoting Cell Proliferation and Collagen Production in Human Fibroblasts (CCD-986sk Cells),PHARMACEUTICALS,36015117,Article,WOS:000845853500001,2022,10.3390/ph15080969
WOS_000765137600001,Ethanolic Fenugreek Extract: Its Molecular Mechanisms against Skin Aging and the Enhanced Functions by Nanoencapsulation,PHARMACEUTICALS,35215366,Article,WOS:000765137600001,2022,10.3390/ph15020254
WOS_000514572800042,Ursonic acid exerts inhibitory effects on matrix metalloproteinases via ERK signaling pathway,CHEMICO-BIOLOGICAL INTERACTIONS,31790661,Article,WOS:000514572800042,2020,10.1016/j.cbi.2019.108910
WOS_000368796100007,"Systematically optimized coenzyme q10-loaded novel proniosomal formulation for treatment of photo-induced aging in mice: characterization, biocompatibility studies, biochemical estimations and anti-aging evaluation",JOURNAL OF DRUG TARGETING,26302815,Article,WOS:000368796100007,2016,10.3109/1061186X.2015.1077845
WOS_000941740800001,Nanotechnology as a Tool for Optimizing Topical Photoprotective Formulations Containing Buriti Oil (Mauritia flexuosa) and Dry Aloe vera Extracts: Stability and Cytotoxicity Evaluations,PHARMACEUTICALS,37259436,Article,WOS:000941740800001,2023,10.3390/ph16020292